Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C80,100nF,C0402,132.82025,-62.838116,0.0,top
C81,220nF,C0603,152.447001,-63.487001,0.0,top
C82,100nF,C0402,132.82025,-64.994299,0.0,top
C90,22uF,CAP-SMD_BD6.3-L6.6-W6.6-FD,129.485,-45.0905,0.0,top
CN1,B2B-XH-A(LF)(SN),CONN-TH_B2B-XH-A-LF-SN,80.5205,-131.927433,0.0,top
CN10,5017,CONN-SMD_5017,80.389,-73.98,0.0,top
CN11,5017,CONN-SMD_5017,96.289,-72.9,0.0,top
CN12,5017,CONN-SMD_5017,20.419,-140.1,0.0,top
CN13,B4B-PH-K-S(LF)(SN),CONN-TH_B4B-PH-K-S,29.0075,-123.957433,0.0,top
CN3,5017,CONN-SMD_5017,80.389,-63.36,0.0,top
CN4,EXT,CONN-TH_2P-P2.50_HX25003-2A,104.280433,-2.7005,0.0,top
CN5,EXT,CONN-TH_2P-P2.50_HX25003-2A,104.280433,-10.231433,0.0,top
CN6,EXT,CONN-TH_2P-P2.50_HX25003-2A,104.280433,-17.762366,0.0,top
CN8,5017,CONN-SMD_5017,80.389,-66.9,0.0,top
CN9,5017,CONN-SMD_5017,80.389,-70.44,0.0,top
CUR_1,INA3221AIRGVR,QFN-16_L4.0-W4.0-P0.65-TL-EP2.2,143.01425,-106.577,270.0,top
CUR_2,INA3221AIRGVR,QFN-16_L4.0-W4.0-P0.65-TL-EP2.2,50.95425,-140.407,270.0,top
CUR_3,INA3221AIRGVR,QFN-16_L4.0-W4.0-P0.65-TL-EP2.2,50.95425,-146.981,270.0,top
CUR_4,INA3221AIRGVR,QFN-16_L4.0-W4.0-P0.65-TL-EP2.2,36.68425,-89.177,270.0,top
D13,SMF6.0A,SOD-123F_L2.8-W1.8-LS3.7-RD,36.045,-94.1105,0.0,top
D14,SMF13A,SOD-123FL_L2.8-W1.8-LS3.6-RD,11.445,-83.4505,0.0,top
D15,SMAJ16A,SMA_L4.3-W2.6-LS5.0-RD,20.96225,-89.7805,0.0,top
D16,SMF13A,SOD-123FL_L2.8-W1.8-LS3.6-RD,142.475,-94.7005,0.0,top
D17,SMF13A,SOD-123FL_L2.8-W1.8-LS3.6-RD,142.475,-98.131433,0.0,top
D18,SMF13A,SOD-123FL_L2.8-W1.8-LS3.6-RD,142.475,-101.562366,0.0,top
D20,SMAJ16A,SMA_L4.3-W2.6-LS5.0-RD,33.74225,-9.7305,0.0,top
D39,SMBJ30A,SMB_L4.6-W3.6-LS5.4-RD,118.10175,-133.3505,0.0,top
D40,BAT46W-7-F,SOD-123_L2.8-W1.8-LS3.7-RD,99.1425,-114.4305,0.0,top
D41,BAT46W-7-F,SOD-123_L2.8-W1.8-LS3.7-RD,90.5225,-33.4405,0.0,top
D42,MMSZ5246B-7-F,SOD-123_L2.7-W1.6-LS3.7-RD,26.675,-1.1005,0.0,top
D43,MMSZ5246B-7-F,SOD-123_L2.7-W1.6-LS3.7-RD,26.675,-4.331433,0.0,top
D44,MMSZ5246B-7-F,SOD-123_L2.7-W1.6-LS3.7-RD,26.675,-7.562366,0.0,top
D45,BAT46W,SOD-123_L2.7-W1.6-LS3.7-FD,26.865,-42.1005,0.0,top
D46,BAT46W-7-F,SOD-123_L2.8-W1.8-LS3.7-RD,42.3925,-1.2005,0.0,top
D47,BAT46W-7-F,SOD-123_L2.8-W1.8-LS3.7-RD,42.3925,-4.631433,0.0,top
D49,BZT52C5V1S-7-F,SOD-323_L1.8-W1.3-LS2.5-RD,26.4875,-45.1805,0.0,top
